0	[83340.0, -10.460503203383864, 4.646991140747902]
1	[83728.0, -4.437797999498405, 32.65231770559987]
10	[83098.0, -5.1978496066692585, 9.089812711311719]
11	[83207.0, 18.508687360786723, 10.64415725354367]
2	[83194.0, -18.605618021828445, 204.01479686552554]
3	[83391.0, -14.064767175150843, 0.1989106633763978]
4	[82883.0, -7.136806940566828, 8.408994416069849]
5	[83403.0, 16.97568368511938, 12.110162741416236]
6	[83041.0, -6.2525963144229095, 1.985817508615225]
7	[84011.0, 6.42758490076294, 9.4077882167421]
8	[83283.0, 9.73498257250585, 5.2193583438007725]
9	[83421.0, -4.2852006377291145, 32.51671929065269]
